T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
0.2	-73.244	-1.49778e-05	-1.31987e-05	-0.0338407	0.000425259	3.51455e-05	-3.32305e-05	0.0236931	-0.0047648	0.0181067	-0.0041291	0.00066234	0	1.23298e-05	-4.55603e-05	-0.00370307	-0.00149304	0.000431313
0.21	-73.2823	-1.45549e-05	-1.31018e-05	-0.0337307	0.000422156	3.48333e-05	-3.3223e-05	0.0236104	-0.00476807	0.0180951	-0.00413941	0.000662451	0	1.22533e-05	-4.54763e-05	-0.00370418	-0.00149345	0.000429556
0.22	-73.3203	-1.41636e-05	-1.3006e-05	-0.0336209	0.000419085	3.45251e-05	-3.32156e-05	0.0235277	-0.00477132	0.0180836	-0.00414967	0.000662562	0	1.21775e-05	-4.53931e-05	-0.00370527	-0.00149386	0.000427809
0.23	-73.3582	-1.38002e-05	-1.29114e-05	-0.0335114	0.000416046	3.42208e-05	-3.32081e-05	0.0234452	-0.00477456	0.0180722	-0.00415989	0.000662671	0	1.21024e-05	-4.53105e-05	-0.00370636	-0.00149427	0.000426071
0.24	-73.3958	-1.34613e-05	-1.2818e-05	-0.033402	0.000413038	3.39204e-05	-3.32007e-05	0.0233628	-0.00477778	0.0180608	-0.00417007	0.000662781	0	1.2028e-05	-4.52287e-05	-0.00370745	-0.00149468	0.000424341
0.25	-73.4333	-1.31443e-05	-1.27257e-05	-0.0332929	0.000410062	3.36238e-05	-3.31933e-05	0.0232805	-0.00478099	0.0180495	-0.0041802	0.000662889	0	1.19542e-05	-4.51475e-05	-0.00370853	-0.00149508	0.00042262
0.26	-73.4706	-1.28469e-05	-1.26345e-05	-0.033184	0.000407116	3.33308e-05	-3.3186e-05	0.0231983	-0.00478418	0.0180382	-0.00419028	0.000662997	0	1.18811e-05	-4.50671e-05	-0.00370961	-0.00149548	0.000420907
0.27	-73.5077	-1.25671e-05	-1.25445e-05	-0.0330753	0.0004042	3.30416e-05	-3.31786e-05	0.0231161	-0.00478736	0.018027	-0.00420033	0.000663105	0	1.18086e-05	-4.49873e-05	-0.00371068	-0.00149588	0.000419204
0.28	-73.5447	-1.23032e-05	-1.24555e-05	-0.0329668	0.000401313	3.27559e-05	-3.31714e-05	0.0230341	-0.00479052	0.0180158	-0.00421033	0.000663212	0	1.17368e-05	-4.49082e-05	-0.00371175	-0.00149628	0.000417508
0.29	-73.5814	-1.20537e-05	-1.23676e-05	-0.0328586	0.000398456	3.24738e-05	-3.31641e-05	0.0229522	-0.00479366	0.0180046	-0.00422028	0.000663318	0	1.16657e-05	-4.48298e-05	-0.00371281	-0.00149668	0.000415821
0.3	-73.618	-1.18173e-05	-1.22807e-05	-0.0327506	0.000395627	3.21952e-05	-3.3157e-05	0.0228704	-0.00479679	0.0179935	-0.0042302	0.000663424	0	1.15952e-05	-4.47521e-05	-0.00371386	-0.00149707	0.000414143
0.31	-73.6544	-1.15929e-05	-1.21949e-05	-0.0326428	0.000392827	3.19201e-05	-3.31499e-05	0.0227887	-0.00479991	0.0179825	-0.00424007	0.000663529	0	1.15253e-05	-4.46751e-05	-0.00371491	-0.00149747	0.000412472
0.32	-73.6906	-1.13795e-05	-1.211e-05	-0.0325352	0.000390055	3.16483e-05	-3.31429e-05	0.0227071	-0.00480301	0.0179715	-0.0042499	0.000663634	0	1.1456e-05	-4.45988e-05	-0.00371596	-0.00149786	0.00041081
0.33	-73.7266	-1.11763e-05	-1.20262e-05	-0.0324278	0.00038731	3.13799e-05	-3.31359e-05	0.0226256	-0.00480609	0.0179605	-0.00425968	0.000663738	0	1.13873e-05	-4.45232e-05	-0.003717	-0.00149825	0.000409156
0.34	-73.7625	-1.09825e-05	-1.19434e-05	-0.0323207	0.000384592	3.11147e-05	-3.3129e-05	0.0225442	-0.00480916	0.0179496	-0.00426943	0.000663841	0	1.13193e-05	-4.44483e-05	-0.00371804	-0.00149863	0.000407511
0.35	-73.7981	-1.07974e-05	-1.18615e-05	-0.0322138	0.000381902	3.08528e-05	-3.31222e-05	0.022463	-0.00481222	0.0179388	-0.00427913	0.000663944	0	1.12518e-05	-4.43741e-05	-0.00371907	-0.00149902	0.000405873
0.36	-73.8336	-1.06204e-05	-1.17806e-05	-0.0321072	0.000379237	3.05941e-05	-3.31155e-05	0.0223818	-0.00481526	0.017928	-0.0042888	0.000664046	0	1.1185e-05	-4.43005e-05	-0.0037201	-0.0014994	0.000404243
0.37	-73.869	-1.04509e-05	-1.17006e-05	-0.0320008	0.000376599	3.03385e-05	-3.31089e-05	0.0223008	-0.00481828	0.0179172	-0.00429842	0.000664148	0	1.11188e-05	-4.42277e-05	-0.00372112	-0.00149978	0.000402622
0.38	-73.9041	-1.02885e-05	-1.16216e-05	-0.0318946	0.000373987	3.0086e-05	-3.31024e-05	0.0222198	-0.00482129	0.0179065	-0.004308	0.000664249	0	1.10531e-05	-4.41555e-05	-0.00372214	-0.00150016	0.000401008
0.39	-73.9391	-1.01326e-05	-1.15435e-05	-0.0317886	0.0003714	2.98366e-05	-3.3096e-05	0.022139	-0.00482429	0.0178958	-0.00431754	0.00066435	0	1.0988e-05	-4.4084e-05	-0.00372315	-0.00150054	0.000399402
0.4	-73.9739	-9.98284e-06	-1.14662e-05	-0.0316829	0.000368838	2.95902e-05	-3.30897e-05	0.0220583	-0.00482727	0.0178852	-0.00432704	0.00066445	0	1.09235e-05	-4.40133e-05	-0.00372416	-0.00150092	0.000397804
0.41	-74.0086	-9.8389e-06	-1.13899e-05	-0.0315774	0.000366301	2.93467e-05	-3.30835e-05	0.0219778	-0.00483024	0.0178746	-0.0043365	0.000664549	0	1.08596e-05	-4.39432e-05	-0.00372516	-0.00150129	0.000396214
0.42	-74.0431	-9.70038e-06	-1.13144e-05	-0.0314722	0.000363788	2.91061e-05	-3.30775e-05	0.0218973	-0.0048332	0.0178641	-0.00434592	0.000664648	0	1.07963e-05	-4.38737e-05	-0.00372616	-0.00150167	0.000394632
0.43	-74.0774	-9.56698e-06	-1.12398e-05	-0.0313672	0.000361299	2.88685e-05	-3.30715e-05	0.021817	-0.00483614	0.0178536	-0.0043553	0.000664747	0	1.07335e-05	-4.3805e-05	-0.00372716	-0.00150204	0.000393057
0.44	-74.1115	-9.43839e-06	-1.11661e-05	-0.0312625	0.000358834	2.86336e-05	-3.30657e-05	0.0217368	-0.00483906	0.0178431	-0.00436464	0.000664844	0	1.06712e-05	-4.3737e-05	-0.00372815	-0.0015024	0.00039149
